Time,header.seq,header.stamp.secs,header.stamp.nsecs,header.frame_id,fluid_pressure,variance
1676104304.5187,2939,1676104304,506371056,base_link,101271.5,0.0
1676104304.577011,2940,1676104304,565677056,base_link,101271.0,0.0
1676104304.6196826,2941,1676104304,610188216,base_link,101277.75,0.0
1676104304.6794415,2942,1676104304,669500216,base_link,101276.0,0.0
1676104304.7390666,2943,1676104304,728825120,base_link,101274.5,0.0
1676104304.7986581,2944,1676104304,788130120,base_link,101271.0,0.0
1676104304.8415024,2945,1676104304,827694768,base_link,101269.7421875,0.0
1676104304.8980513,2946,1676104304,887000768,base_link,101265.0,0.0
1676104304.9586833,2947,1676104304,946346184,base_link,101267.4921875,0.0
1676104304.9974113,2948,1676104304,985873184,base_link,101266.25,0.0
1676104305.0612252,2949,1676104305,50148088,base_link,101261.7421875,0.0
1676104305.1198275,2950,1676104305,109482504,base_link,101252.0,0.0
1676104305.1788146,2951,1676104305,168787504,base_link,101253.75,0.0
1676104305.2390132,2952,1676104305,228123432,base_link,101259.25,0.0
1676104305.2780046,2953,1676104305,267659432,base_link,101260.5,0.0
1676104305.3384006,2954,1676104305,326995616,base_link,101262.5078125,0.0
1676104305.3981605,2955,1676104305,386301616,base_link,101263.5,0.0
1676104305.4587438,2956,1676104305,445637800,base_link,101259.25,0.0
1676104305.4996343,2957,1676104305,485173800,base_link,101265.25,0.0
1676104305.5580363,2958,1676104305,544559240,base_link,101265.75,0.0
1676104305.618168,2959,1676104305,603844936,base_link,101265.9921875,0.0
1676104305.656717,2960,1676104305,643385936,base_link,101263.25,0.0
1676104305.7211118,2961,1676104305,707659632,base_link,101264.75,0.0
1676104305.7766612,2962,1676104305,766964632,base_link,101268.4921875,0.0
1676104305.8362825,2963,1676104305,826300328,base_link,101269.25,0.0
1676104305.8983989,2964,1676104305,885608328,base_link,101275.7421875,0.0
1676104305.9378974,2965,1676104305,925225024,base_link,101267.9921875,0.0
1676104305.9996884,2966,1676104305,989422024,base_link,101265.75,0.0
1676104306.0593562,2967,1676104306,48761744,base_link,101270.2421875,0.0
1676104306.099074,2968,1676104306,88295744,base_link,101267.4921875,0.0
1676104306.1585252,2969,1676104306,147630952,base_link,101270.2421875,0.0
1676104306.2200425,2970,1676104306,206968416,base_link,101266.25,0.0
1676104306.2793584,2971,1676104306,266274416,base_link,101265.75,0.0
1676104306.3203297,2972,1676104306,305929136,base_link,101268.2421875,0.0
1676104306.3788066,2973,1676104306,365149136,base_link,101269.2421875,0.0
1676104306.439022,2974,1676104306,429474624,base_link,101267.2421875,0.0
1676104306.499196,2975,1676104306,488734624,base_link,101269.2421875,0.0
1676104306.558323,2976,1676104306,543127600,base_link,101270.2421875,0.0
1676104306.599505,2977,1676104306,587606600,base_link,101268.9921875,0.0
1676104306.6605804,2978,1676104306,646961832,base_link,101264.2421875,0.0
1676104306.7180164,2979,1676104306,706281320,base_link,101269.4921875,0.0
1676104306.75935,2980,1676104306,745819320,base_link,101268.25,0.0
1676104306.8219373,2981,1676104306,810176552,base_link,101275.75,0.0
1676104306.8802204,2982,1676104306,869403552,base_link,101276.2421875,0.0
1676104306.9395597,2983,1676104306,923800040,base_link,101271.25,0.0
1676104306.9791176,2984,1676104306,968279040,base_link,101272.0,0.0
1676104307.038843,2985,1676104307,27615528,base_link,101272.0,0.0
1676104307.09886,2986,1676104307,86921528,base_link,101265.75,0.0
1676104307.1606443,2987,1676104307,146259784,base_link,101273.0,0.0
1676104307.2210727,2988,1676104307,210542296,base_link,101271.25,0.0
1676104307.25966,2989,1676104307,245135296,base_link,101275.0,0.0
1676104307.3194973,2990,1676104307,304475808,base_link,101273.5,0.0
1676104307.3794825,2991,1676104307,368721808,base_link,101265.75,0.0
1676104307.420249,2992,1676104307,408291576,base_link,101265.5,0.0
1676104307.4795017,2993,1676104307,467598576,base_link,101266.75,0.0
1676104307.5395315,2994,1676104307,526936600,base_link,101268.0,0.0
1676104307.5993817,2995,1676104307,586242600,base_link,101270.0,0.0
1676104307.6401553,2996,1676104307,625813112,base_link,101276.4921875,0.0
1676104307.6998258,2997,1676104307,685121112,base_link,101265.25,0.0
1676104307.7608235,2998,1676104307,749402624,base_link,101272.25,0.0
1676104307.80038,2999,1676104307,788939624,base_link,101276.7421875,0.0
1676104307.8608615,3000,1676104307,848275392,base_link,101273.0,0.0
1676104307.9195962,3001,1676104307,907614928,base_link,101270.7421875,0.0
1676104307.9790652,3002,1676104307,966919928,base_link,101269.4921875,0.0
1676104308.0393412,3003,1676104308,26260720,base_link,101272.75,0.0
1676104308.0813215,3004,1676104308,70740720,base_link,101273.25,0.0
1676104308.1412323,3005,1676104308,130078256,base_link,101272.25,0.0
1676104308.199599,3006,1676104308,189386256,base_link,101273.0,0.0
1676104308.2611818,3007,1676104308,248729048,base_link,101271.25,0.0
1676104308.3018796,3008,1676104308,288262048,base_link,101272.75,0.0
1676104308.3596165,3009,1676104308,347602096,base_link,101271.25,0.0
1676104308.4222798,3010,1676104308,406941144,base_link,101268.25,0.0
1676104308.4599073,3011,1676104308,446544144,base_link,101268.2421875,0.0
1676104308.519978,3012,1676104308,505818448,base_link,101272.75,0.0
1676104308.5804582,3013,1676104308,570068448,base_link,101271.0,0.0
1676104308.640469,3014,1676104308,629407496,base_link,101268.7421875,0.0
1676104308.6998842,3015,1676104308,688714496,base_link,101270.4921875,0.0
1676104308.7392366,3016,1676104308,728285312,base_link,101268.0,0.0
1676104308.7991686,3017,1676104308,787591312,base_link,101264.75,0.0
1676104308.8618035,3018,1676104308,846931872,base_link,101274.9921875,0.0
1676104308.9005842,3019,1676104308,886471872,base_link,101268.5,0.0
1676104308.9611197,3020,1676104308,950752944,base_link,101272.5,0.0
1676104309.0209308,3021,1676104309,10093016,base_link,101265.75,0.0
1676104309.080369,3022,1676104309,69399016,base_link,101268.2421875,0.0
