Time,header.seq,header.stamp.secs,header.stamp.nsecs,header.frame_id,rssi,channels_0,channels_1,channels_2,channels_3,channels_4,channels_5,channels_6,channels_7,channels_8,channels_9,channels_10,channels_11,channels_12,channels_13,channels_14,channels_15,channels_16,channels_17
1676104304.7116346,1601,1676104304,695613120,,255,1499,1498,1066,1498,1499,1065,1933,1065,1065,1065,1514,1542,1514,1514,1514,1514,998,998
1676104304.810888,1602,1676104304,799640768,,255,1499,1498,1066,1498,1499,1065,1933,1065,1065,1065,1514,1542,1514,1514,1514,1514,998,998
1676104304.9158883,1603,1676104304,895669184,,255,1498,1498,1066,1498,1499,1065,1933,1065,1065,1065,1514,1542,1514,1514,1514,1514,998,998
1676104305.0115855,1604,1676104304,991697088,,255,1499,1498,1066,1498,1499,1065,1933,1065,1065,1065,1514,1542,1514,1514,1514,1514,998,998
1676104305.1133573,1605,1676104305,95725504,,255,1499,1498,1066,1498,1499,1065,1933,1065,1065,1065,1514,1542,1514,1514,1514,1514,998,998
1676104305.2117774,1606,1676104305,187754432,,255,1499,1498,1066,1498,1499,1065,1933,1065,1065,1065,1514,1542,1514,1514,1514,1514,998,998
1676104305.3120296,1607,1676104305,295783616,,255,1499,1498,1066,1498,1499,1065,1933,1065,1065,1065,1514,1542,1514,1514,1514,1514,998,998
1676104305.4111452,1608,1676104305,391812800,,255,1498,1498,1066,1498,1499,1065,1933,1065,1065,1065,1514,1542,1514,1514,1514,1514,998,998
1676104305.51106,1609,1676104305,495842240,,255,1499,1498,1066,1498,1499,1065,1933,1065,1065,1065,1514,1542,1514,1514,1514,1514,998,998
1676104305.6111414,1610,1676104305,591871936,,255,1499,1498,1066,1498,1499,1065,1933,1065,1065,1065,1514,1542,1514,1514,1514,1514,998,998
1676104305.7153785,1611,1676104305,695901632,,255,1499,1498,1066,1498,1499,1065,1933,1065,1065,1065,1514,1542,1514,1514,1514,1514,998,998
1676104305.8125467,1612,1676104305,791931328,,255,1499,1498,1066,1498,1499,1065,1933,1065,1065,1065,1514,1542,1514,1514,1514,1514,998,998
1676104305.9140327,1613,1676104305,895961024,,255,1498,1498,1066,1498,1499,1065,1933,1065,1065,1065,1514,1542,1514,1514,1514,1514,998,998
1676104306.010947,1614,1676104305,991991744,,255,1499,1498,1066,1498,1499,1065,1933,1065,1065,1065,1514,1542,1514,1514,1514,1514,998,998
1676104306.1142108,1615,1676104306,96021952,,255,1499,1498,1066,1498,1499,1065,1933,1065,1065,1065,1514,1542,1514,1514,1514,1514,998,998
1676104306.2131183,1616,1676104306,192052416,,255,1499,1498,1066,1498,1499,1065,1933,1065,1065,1065,1514,1542,1514,1514,1514,1514,998,998
1676104306.311561,1617,1676104306,296083136,,255,1499,1498,1066,1498,1499,1065,1933,1065,1065,1065,1514,1542,1514,1514,1514,1514,998,998
1676104306.4118109,1618,1676104306,392114624,,255,1499,1498,1066,1498,1499,1065,1933,1065,1065,1065,1514,1542,1514,1514,1514,1514,998,998
1676104306.5119982,1619,1676104306,496145600,,255,1499,1498,1066,1498,1499,1065,1933,1065,1065,1065,1514,1542,1514,1514,1514,1514,998,998
1676104306.6164076,1620,1676104306,592176832,,255,1499,1498,1066,1498,1499,1065,1933,1065,1065,1065,1514,1542,1514,1514,1514,1514,998,998
1676104306.711943,1621,1676104306,700208320,,255,1498,1498,1066,1498,1499,1065,1933,1065,1065,1065,1514,1542,1514,1514,1514,1514,998,998
1676104306.813317,1622,1676104306,792239552,,255,1499,1498,1066,1498,1499,1065,1933,1065,1065,1065,1514,1542,1514,1514,1514,1514,998,998
1676104306.9128406,1623,1676104306,900271040,,255,1499,1498,1066,1498,1499,1065,1933,1065,1065,1065,1514,1542,1514,1514,1514,1514,998,998
1676104307.0148478,1624,1676104306,996302528,,255,1499,1498,1066,1498,1499,1065,1933,1065,1065,1065,1514,1542,1514,1514,1514,1514,998,998
1676104307.1140568,1625,1676104307,100334784,,255,1499,1498,1066,1498,1499,1065,1933,1065,1065,1065,1514,1542,1514,1514,1514,1514,998,998
1676104307.2157087,1626,1676104307,192367296,,255,1499,1498,1066,1498,1499,1065,1933,1065,1065,1065,1514,1542,1514,1514,1514,1514,998,998
1676104307.3133466,1627,1676104307,300399808,,255,1499,1498,1066,1498,1499,1065,1933,1065,1065,1065,1514,1542,1514,1514,1514,1514,998,998
1676104307.411975,1628,1676104307,396432576,,255,1499,1498,1066,1498,1499,1065,1933,1065,1065,1065,1514,1542,1514,1514,1514,1514,998,998
1676104307.5122082,1629,1676104307,500465600,,255,1499,1498,1066,1498,1499,1065,1933,1065,1065,1065,1514,1542,1514,1514,1514,1514,998,998
