Time,header.seq,header.stamp.secs,header.stamp.nsecs,header.frame_id,magnetic_field.x,magnetic_field.y,magnetic_field.z,magnetic_field_covariance_0,magnetic_field_covariance_1,magnetic_field_covariance_2,magnetic_field_covariance_3,magnetic_field_covariance_4,magnetic_field_covariance_5,magnetic_field_covariance_6,magnetic_field_covariance_7,magnetic_field_covariance_8
1676104313.703938,8114,1676104313,692084016,base_link,2.657051980495453e-05,1.2794415652751919e-05,-2.950524985790253e-05,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1676104313.7244673,8115,1676104313,706950232,base_link,2.7216488122940066e-05,1.3257411122322079e-05,-2.8953084349632265e-05,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1676104313.7445714,8116,1676104313,731662232,base_link,2.7344232797622682e-05,1.3918252289295195e-05,-2.8883835673332218e-05,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1676104313.7658446,8117,1676104313,751430232,base_link,2.685157656669617e-05,1.3118171691894528e-05,-2.8820165991783143e-05,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1676104313.782425,8118,1676104313,771200232,base_link,2.684358358383179e-05,1.2877213954925534e-05,-2.926183342933655e-05,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1676104313.802876,8119,1676104313,790969232,base_link,2.7290695905685428e-05,1.2838034331798551e-05,-2.873266339302063e-05,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1676104313.8227148,8120,1676104313,805844704,base_link,2.6864391565322876e-05,1.2533044815063473e-05,-2.9328620433807375e-05,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1676104313.8424213,8121,1676104313,830546704,base_link,2.7703562378883363e-05,1.2755212187767025e-05,-3.037984371185303e-05,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1676104313.8632445,8122,1676104313,850314704,base_link,2.6570552587509155e-05,1.3368339836597439e-05,-2.9730749130249026e-05,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1676104313.882079,8123,1676104313,870120704,base_link,2.7634748816490175e-05,1.3206031918525693e-05,-2.975960373878479e-05,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1676104313.9021614,8124,1676104313,889851704,base_link,2.6684519648551942e-05,1.2768727540969846e-05,-2.881658673286438e-05,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1676104313.9221473,8125,1676104313,909662432,base_link,2.7089080214500428e-05,1.3112205266952511e-05,-3.0019861459732055e-05,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1676104313.942693,8126,1676104313,929431432,base_link,2.695395350456238e-05,1.298469007015228e-05,-2.9493492841720583e-05,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1676104313.96544,8127,1676104313,949200432,base_link,2.7671635150909426e-05,1.2599258124828336e-05,-3.03249329328537e-05,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1676104313.9819455,8128,1676104313,968969432,base_link,2.5975590944290163e-05,1.324062645435333e-05,-2.9558300971984864e-05,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1676104314.0059958,8129,1676104313,993684432,base_link,2.7083879709243776e-05,1.2572668492794034e-05,-3.0257999897003176e-05,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1676104314.0296218,8130,1676104314,13493392,base_link,2.7030092477798464e-05,1.2752142548561094e-05,-2.9302316904067995e-05,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1676104314.0421937,8131,1676104314,28316392,base_link,2.724181413650513e-05,1.3285484910011288e-05,-2.9655337333679202e-05,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1676104314.0636575,8132,1676104314,48084392,base_link,2.6663535833358765e-05,1.3006436824798581e-05,-2.952863574028015e-05,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1676104314.0814154,8133,1676104314,67853392,base_link,2.694874703884125e-05,1.3144187629222866e-05,-2.883315980434418e-05,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1676104314.102465,8134,1676104314,87621392,base_link,2.699914574623108e-05,1.3845223188400265e-05,-2.960319519042969e-05,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1676104314.1282847,8135,1676104314,112374376,base_link,2.716612219810486e-05,1.3004449009895321e-05,-2.9513716697692872e-05,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1676104314.1424916,8136,1676104314,127365376,base_link,2.691389322280884e-05,1.3181348145008085e-05,-2.978569269180298e-05,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1676104314.1631062,8137,1676104314,151913376,base_link,2.7837160229682923e-05,1.2939997017383572e-05,-2.9086899757385255e-05,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1676104314.185463,8138,1676104314,171680376,base_link,2.616194486618042e-05,1.3117679953575132e-05,-2.944825291633606e-05,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1676104314.202727,8139,1676104314,191452376,base_link,2.728595733642578e-05,1.2991161644458769e-05,-2.8523939847946167e-05,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
