Time,header.seq,header.stamp.secs,header.stamp.nsecs,header.frame_id,vector.x,vector.y,vector.z
1676469337.2640026,198,1676469337,260328054,,5.537223100326828,7.711527748020423,0.23636207455926814
1676469337.2718859,199,1676469337,270031929,,5.534570272885209,7.667373851814411,0.19415223310447116
1676469337.28203,200,1676469337,280021667,,5.788138779022604,7.710077734723113,0.20304847737644627
1676469337.2956522,201,1676469337,290041446,,5.758949343534757,7.571741120723445,0.36219723531899123
1676469337.3019373,202,1676469337,300331592,,5.972418890094028,7.5309066137693765,0.3085703686477418
1676469337.3123524,203,1676469337,310390710,,6.013515507782448,7.524734858232746,0.3081005425181571
1676469337.3222463,204,1676469337,320164918,,6.017825503700603,7.365986420563363,0.2766634084907611
1676469337.3317482,205,1676469337,330064535,,5.993065918407203,7.309136170915987,0.3715794964064692
1676469337.3423843,206,1676469337,340792417,,6.281628232848343,7.294232059896358,0.4191887758005286
1676469337.3531127,207,1676469337,350318431,,6.165464206960412,7.17279377356417,0.3642304975515783
1676469337.3630526,208,1676469337,361153364,,6.261791917167262,7.108323199707656,0.37268931791281495
1676469337.3737156,209,1676469337,370368003,,6.341077616413542,7.075325203144114,0.4129637121823526
1676469337.3851154,210,1676469337,380540847,,6.4445006913505365,7.1152902047910125,0.3643153421270863
1676469337.395298,211,1676469337,390206098,,6.461465863302874,7.0399016471611375,0.3609673027502233
1676469337.4016666,212,1676469337,400307893,,6.234953764479256,6.888467715950632,0.38567827867721255
1676469337.413574,213,1676469337,410176038,,6.284556682255654,6.929578429137687,0.3429617040254105
1676469337.422405,214,1676469337,420657634,,6.314996754133315,6.8985845157708985,0.33584451086442524
1676469337.4320867,215,1676469337,430111408,,6.1445330558801565,6.76731400368242,0.36332441809828064
1676469337.4421556,216,1676469337,440001010,,6.031765967853742,6.654292250180409,0.39557994968302285
1676469337.4530523,217,1676469337,450364589,,6.0571718286608744,6.622645851810939,0.38715839592152984
1676469337.4647315,218,1676469337,460179567,,6.148866847883599,6.661965431511606,0.37916676135148875
1676469337.4717095,219,1676469337,470059633,,6.238315784615805,6.69166299301157,0.3775698238098888
1676469337.4816854,220,1676469337,480096340,,5.882492015562045,6.481339563533801,0.3726587976115366
1676469337.49791,221,1676469337,490410327,,5.800256590502054,6.430347949816868,0.37959006509609466
1676469337.5022192,222,1676469337,500360727,,5.803194090251595,6.45321408864438,0.41189581509529344
1676469337.5118473,223,1676469337,510074615,,5.612873961641281,6.321244644290795,0.3949919705494217
1676469337.522752,224,1676469337,520951509,,5.5665201161336535,6.371584386120322,0.36796925809953784
1676469337.5319788,225,1676469337,530267715,,5.4365902964995145,6.3347154171523705,0.326014528361221
1676469337.5424695,226,1676469337,540187597,,5.26903318060631,6.321011950186876,0.2525620921680829
1676469337.5526805,227,1676469337,550338983,,5.08478622152399,6.200719754349311,0.3757748205098256
1676469337.5633593,228,1676469337,560368299,,5.206548656361358,6.2799153991117596,0.2519002177913122
