Time,transforms
1676469335.1251929,"[header: 
  seq: 0
  stamp: 
    secs: 1676469334
    nsecs: 893581387
  frame_id: ""world""
child_frame_id: ""UAV0""
transform: 
  translation: 
    x: -1.3298618793487549
    y: -0.5838459134101868
    z: 0.12473993748426437
  rotation: 
    x: -0.019132491201162338
    y: 0.046900082379579544
    z: -0.0010325382463634014
    w: -0.9987158179283142]"
1676469335.12524,"[header: 
  seq: 0
  stamp: 
    secs: 1676469334
    nsecs: 903377903
  frame_id: ""world""
child_frame_id: ""UAV0""
transform: 
  translation: 
    x: -1.3298524618148804
    y: -0.5838450789451599
    z: 0.1247393861413002
  rotation: 
    x: -0.019201671704649925
    y: 0.04687337204813957
    z: -0.0010777770075947046
    w: -0.9987156987190247]"
1676469335.1252644,"[header: 
  seq: 0
  stamp: 
    secs: 1676469334
    nsecs: 903526604
  frame_id: ""world""
child_frame_id: ""UAV0""
transform: 
  translation: 
    x: -1.3298141956329346
    y: -0.5838760733604431
    z: 0.12464042007923126
  rotation: 
    x: -0.021487517282366753
    y: 0.04701736569404602
    z: -0.001642592716962099
    w: -0.9986616373062134]"
1676469335.1252742,"[header: 
  seq: 0
  stamp: 
    secs: 1676469334
    nsecs: 913387101
  frame_id: ""world""
child_frame_id: ""UAV0""
transform: 
  translation: 
    x: -1.3298122882843018
    y: -0.5838814377784729
    z: 0.12462737411260605
  rotation: 
    x: -0.02204323746263981
    y: 0.04689633101224899
    z: -0.0017195226391777396
    w: -0.9986550211906433]"
1676469335.1252966,"[header: 
  seq: 0
  stamp: 
    secs: 1676469334
    nsecs: 913535969
  frame_id: ""world""
child_frame_id: ""UAV0""
transform: 
  translation: 
    x: -1.3298118114471436
    y: -0.5838798880577087
    z: 0.12463812530040741
  rotation: 
    x: -0.02181393839418888
    y: 0.04688938334584236
    z: -0.0016764503670856357
    w: -0.9986605048179626]"
1676469335.1253238,"[header: 
  seq: 0
  stamp: 
    secs: 1676469334
    nsecs: 913589875
  frame_id: ""world""
child_frame_id: ""UAV0""
transform: 
  translation: 
    x: -1.3298157453536987
    y: -0.5838859677314758
    z: 0.1246366798877716
  rotation: 
    x: -0.021634584292769432
    y: 0.04690534621477127
    z: -0.0016224606661126018
    w: -0.9986637234687805]"
1676469335.1253452,"[header: 
  seq: 0
  stamp: 
    secs: 1676469334
    nsecs: 923370077
  frame_id: ""world""
child_frame_id: ""UAV0""
transform: 
  translation: 
    x: -1.3298124074935913
    y: -0.5838767290115356
    z: 0.1246282085776329
  rotation: 
    x: -0.0219251811504364
    y: 0.0468718595802784
    z: -0.0016938889166340232
    w: -0.9986588358879089]"
1676469335.125355,"[header: 
  seq: 0
  stamp: 
    secs: 1676469334
    nsecs: 923512538
  frame_id: ""world""
child_frame_id: ""UAV0""
transform: 
  translation: 
    x: -1.3298149108886719
    y: -0.583881139755249
    z: 0.1246449425816536
  rotation: 
    x: -0.02168843150138855
    y: 0.04702415689826012
    z: -0.0016839024610817432
    w: -0.9986568689346313]"
1676469335.1253803,"[header: 
  seq: 0
  stamp: 
    secs: 1676469334
    nsecs: 933410108
  frame_id: ""world""
child_frame_id: ""UAV0""
transform: 
  translation: 
    x: -1.32981276512146
    y: -0.5838813185691833
    z: 0.1246296763420105
  rotation: 
    x: -0.021874329075217247
    y: 0.046882420778274536
    z: -0.0016269814223051071
    w: -0.998659610748291]"
1676469335.125395,"[header: 
  seq: 0
  stamp: 
    secs: 1676469334
    nsecs: 933492958
  frame_id: ""world""
child_frame_id: ""UAV0""
transform: 
  translation: 
    x: -1.3298203945159912
    y: -0.5838837623596191
    z: 0.12463952600955963
  rotation: 
    x: -0.02167404629290104
    y: 0.04687441140413284
    z: -0.0015273230383172631
    w: -0.9986644387245178]"
