Time,header.seq,header.stamp.secs,header.stamp.nsecs,header.frame_id,airspeed,groundspeed,heading,throttle,altitude,climb
1676104318.9316473,3283,1676104318,931134413,,0.0,0.011062739416956902,78,0.0,2.0398707389831543,-0.0053156595677137375
1676104318.9823585,3284,1676104318,981375114,,0.0,0.011631357483565807,78,0.0,1.9764550924301147,-0.005391664803028107
1676104319.0304973,3285,1676104319,29581203,,0.0,0.013839607127010822,78,0.0,2.2063369750976562,-0.005913557950407267
1676104319.0810468,3286,1676104319,80508777,,0.0,0.013108513318002224,78,0.0,1.9156817197799683,-0.006531337276101112
1676104319.1321673,3287,1676104319,131523923,,0.0,0.012514659203588963,78,0.0,1.9156817197799683,-0.0065172757022082806
1676104319.180501,3288,1676104319,179607553,,0.0,0.012254634872078896,78,0.0,1.7465732097625732,-0.0072629693895578384
1676104319.2312748,3289,1676104319,230674586,,0.0,0.012034905143082142,78,0.0,1.6435227394104004,-0.007305172737687826
1676104319.284681,3290,1676104319,283175249,,0.0,0.011650457978248596,78,0.0,2.0398707389831543,-0.007594812661409378
1676104319.3311744,3291,1676104319,330566675,,0.0,0.013787852600216866,78,0.0,2.2486138343811035,-0.008306719362735748
1676104319.3971221,3292,1676104319,381842277,,0.0,0.00939116720110178,78,0.0,2.2486138343811035,-0.008104126900434494
1676104319.430709,3293,1676104319,429625915,,0.0,0.014782242476940155,78,0.0,1.8522659540176392,-0.00834804680198431
1676104319.4844556,3294,1676104319,483134181,,0.0,0.011153090745210648,78,0.0,1.9156817197799683,-0.008331996388733387
1676104319.5327797,3295,1676104319,532170397,,0.0,0.009892646223306656,78,0.0,1.8311275243759155,-0.008269175887107849
1676104319.5838165,3296,1676104319,582540615,,0.0,0.012783322483301163,78,0.0,2.1851983070373535,-0.007857054471969604
1676104319.6308267,3297,1676104319,630201460,,0.0,0.00848669558763504,78,0.0,2.1032862663269043,-0.007501429878175259
1676104319.6840062,3298,1676104319,683174796,,0.0,0.01304431539028883,78,0.0,2.142921209335327,-0.00809432938694954
1676104319.7300956,3299,1676104319,729563951,,0.0,0.008850406855344772,78,0.0,1.582749366760254,-0.007844768464565277
1676104319.7810774,3300,1676104319,780546783,,0.0,0.009855996817350388,78,0.0,2.142921209335327,-0.007923835888504982
1676104319.8301284,3301,1676104319,829576815,,0.0,0.01076897606253624,78,0.0,1.7465732097625732,-0.007848262786865234
1676104319.881207,3302,1676104319,880547147,,0.0,0.007040377706289291,78,0.0,2.2486138343811035,-0.007279956713318825
1676104319.9323869,3303,1676104319,931621791,,0.0,0.011596607975661755,78,0.0,1.8099889755249023,-0.00775713799521327
1676104319.9819155,3304,1676104319,979650701,,0.0,0.0056930892169475555,78,0.0,1.8099889755249023,-0.008216616697609425
1676104320.031729,3305,1676104320,30723976,,0.0,0.011662524193525314,78,0.0,1.8734045028686523,-0.008500181138515472
1676104320.0823746,3306,1676104320,81801641,,0.0,0.007967153564095497,78,0.0,1.7888503074645996,-0.00882725603878498
1676104320.1302917,3307,1676104320,129647317,,0.0,0.006734305527061224,78,0.0,2.1851983070373535,-0.009133976884186268
1676104320.18541,3308,1676104320,181633310,,0.0,0.007330429740250111,78,0.0,1.9764550924301147,-0.00905606523156166
1676104320.2300742,3309,1676104320,229630001,,0.0,0.008308020420372486,78,0.0,2.1217825412750244,-0.008754304610192776
1676104320.2815,3310,1676104320,280653316,,0.0,0.00617991341277957,78,0.0,2.1032862663269043,-0.008167874999344349
1676104320.3319411,3311,1676104320,331458044,,0.0,0.006749010644853115,78,0.0,1.5193337202072144,-0.007806601468473673
1676104320.380778,3312,1676104320,380102180,,0.0,0.004412513691931963,78,0.0,1.8734045028686523,-0.00743358489125967
1676104320.4312763,3313,1676104320,430497030,,0.0,0.006842621136456728,78,0.0,1.7280769348144531,-0.007440545130521059
1676104320.4826808,3314,1676104320,481426958,,0.0,0.004785066470503807,78,0.0,2.2063369750976562,-0.007050633896142244
1676104320.5302672,3315,1676104320,529433537,,0.0,0.005551883485168219,78,0.0,2.2063369750976562,-0.00667650206014514
1676104320.5820632,3316,1676104320,581536361,,0.0,0.002810467965900898,78,0.0,1.9975935220718384,-0.0061918930150568485
1676104320.6311476,3317,1676104320,629576772,,0.0,0.004061895422637463,78,0.0,1.8522659540176392,-0.006090693175792694
1676104320.682502,3318,1676104320,680994003,,0.0,0.0030408750753849745,78,0.0,1.6250265836715698,-0.005732967983931303
1676104320.733533,3319,1676104320,731523701,,0.0,0.003281746292486787,78,0.0,1.894543170928955,-0.005418840330094099
1676104320.7810378,3320,1676104320,780526254,,0.0,0.0024455799721181393,78,0.0,1.9156817197799683,-0.005026266444474459
1676104320.8327987,3321,1676104320,831928022,,0.0,0.002433219226077199,78,0.0,1.9764550924301147,-0.005028858315199614
